Family,Certainty level for identification,Code(Cliff),Genus,Species,Block (B means Block),Site gr (grass) or cc (cover crop),Plot,Subplot,OrderNo,Date,CoverPerc,Soil,Rock,Wood,Litter,StandingDead,Water,Lichen,Moss,OtherNonVascular,Scat,CameraID,Code(Dan),Comments,Site,Corner,Location,Year,Month,Day,Height>3m,Status,Cluster,MorphospeciesID,TaxonID,Collected,Authority
Euph,ToSpp,ChaHir,Chamaesyce,hirta,B14,cc,B14cc,31.4.1,_07,6-Mar-20,<1,,,,,,,,,,,,cha.hir,,31,SW,HH,2020,3,6,,,,,,,
Faba,ToSpp,MedLup,Medicago,lupulina,B14,cc,B14cc,31.4.1,_08,6-Mar-20,1,,,,,,,,,,,,med.lup,,31,SW,HH,2020,3,6,,,,,,,
Phyl,ToSpp,PhyAma,Phyllanthus,amarus,B14,cc,B14cc,31.4.1,_09,6-Mar-20,1,,,,,,,,,,,,phy.ama,,31,SW,HH,2020,3,6,,,,,,,
Oxal,ToSpp,OxaLat,Oxalis,latifolia,B14,cc,B14cc,31.4.1,_10,6-Mar-20,1,,,,,,,,,,,,oxa.lat,,31,SW,HH,2020,3,6,,,,,,,
Papa,ToSpp,ArgMex,Argemone,mexicana,B14,cc,B14cc,31.4.1,_11,6-Mar-20,1,,,,,,,,,,,,arg.mex,,31,SW,HH,2020,3,6,,,,,,,
Oxal,ToSpp,OxaCor,Oxalis,corniculata,B14,cc,B14cc,31.4.1,_12,6-Mar-20,<1,,,,,,,,,,,,oxa.cor,,31,SW,HH,2020,3,6,,,,,,,
Aste,ToSpp,CalVia,Calyptocarpus,vialis,B14,cc,B14cc,31.4.1,_13,6-Mar-20,<1,,,,,,,,,,,,NA,,31,SW,HH,2020,3,6,,,,,,,
Euph,ToSpp,ChaOpt,Chamaesyce,opthalmica,B14,cc,B14cc,31.4.1,_14,6-Mar-20,<1,,,,,,,,,,,,cha.opt,,31,SW,HH,2020,3,6,,,,,,,
Rubi,ToSpp,SpeRem,Spermacoce,remota,B14,cc,B14cc,31.4.1,_15,6-Mar-20,<1,,,,,,,,,,,,spe.rem,,31,SW,HH,2020,3,6,,,,,,,
Euph,ToSpp,EupGra,Euphorbia,graminea,B14,cc,B14cc,31.4.1,_16,6-Mar-20,<1,,,,,,,,,,,,eup.gra,,31,SW,HH,2020,3,6,,,,,,,
Poac,ToSpp,SetPar,Setaria,parviflora,B14,cc,B14cc,31.4.1,_17,6-Mar-20,<1,,,,,,,,,,,,NA,,31,SW,HH,2020,3,6,,,,,,,
Malv,ToSpp,SidUlm,Sida,ulmifolia,B14,cc,B14cc,31.4.1,_18,6-Mar-20,<1,,,,,,,,,,,,sid.ulm,,31,SW,HH,2020,3,6,,,,,,,
Zz?F,Dicot,NA,(Lami/Verb),(PriLap/SalOcc),B14,cc,B14cc,31.4.1,_19,6-Mar-20,<1,,,,,,,,,,,,(lam/vir),,31,SW,HH,2020,3,6,,,,,,,
Poac,Fam,NA,Poac(UnkSp.),NA,B14,cc,B14cc,31.4.1,_20,6-Mar-20,<1,,,,,,,,,,,,NA,Unknow grass,31,SW,HH,2020,3,6,,,,,,,
Euph,ToSpp,AcaAlo,Acalypha,alopecuroidea,B14,cc,B14cc,31.4.1,_21,6-Mar-20,<1,,,,,,,,,,,,aca.alo,,31,SW,HH,2020,3,6,,,,,,,
Hydr,ToSpp,NamJam,Nama,jamaicensis,B14,cc,B14cc,31.4.1,_22,6-Mar-20,<1,,,,,,,,,,,,nam.jam,,31,SW,HH,2020,3,6,,,,,,,
Aste,ToSpp,TriPro,Tridax,procumbens,B14,cc,B14cc,31.4.1,_23,6-Mar-20,<1,,,,,,,,,,,,tri.pro,,31,SW,HH,2020,3,6,,,,,,,
Faba,ToSpp,DesTri,Desmodium,triflorum,B14,cc,B14cc,31.4.1,_24,6-Mar-20,<1,,,,,,,,,,,,NA,,31,SW,HH,2020,3,6,,,,,,,
Urti,ToSpp,ParPra,Parietaria,praetermissa,B14,cc,B14cc,31.4.1,_25,6-Mar-20,<1,,,,,,,,,,,,par.pra,,31,SW,HH,2020,3,6,,,,,,,
Aste,ToSpp,EmiFos,Emilia,fosbergii,B14,cc,B14cc,31.4.10,_01,6-Mar-20,NA,,,,,,,,,,,,emi.fos,,31,SW,HH,2020,3,6,,,,,,,
Poac,ToSpp,DigCil,Digitara,ciliaris,B14,cc,B14cc,31.4.10,_02,6-Mar-20,NA,,,,,,,,,,,,dig.cil,,31,SW,HH,2020,3,6,,,,,,,
Cype,Genus,CypSp.,Cyperus,sp.,B14,cc,B14cc,31.4.10,_03,6-Mar-20,NA,,,,,,,,,,,,cyp.sp,,31,SW,HH,2020,3,6,,,,,,,
Onag,ToSpp,OenLac,Oenothera,laciniata,B14,cc,B14cc,31.4.10,_04,6-Mar-20,NA,,,,,,,,,,,,oen.lac,,31,SW,HH,2020,3,6,,,,,,,
Bras,ToSpp,LepVir,Lepidium,virginicum,B14,cc,B14cc,31.4.10,_05,6-Mar-20,NA,,,,,,,,,,,,lep.vir,,31,SW,HH,2020,3,6,,,,,,,
Aste,ToSpp,SonOle,Sonchus,oleraceus,B14,cc,B14cc,31.4.10,_06,6-Mar-20,NA,,,,,,,,,,,,son.ole,,31,SW,HH,2020,3,6,,,,,,,
Euph,ToSpp,AcaSet,Acalypha,setosa,B14,cc,B14cc,31.4.10,_07,6-Mar-20,NA,,,,,,,,,,,,aca.set,,31,SW,HH,2020,3,6,,,,,,,
Poac,ToSpp,SetPar,Setaria,parviflora,B14,cc,B14cc,31.4.10,_08,6-Mar-20,NA,,,,,,,,,,,,set.par,,31,SW,HH,2020,3,6,,,,,,,
Aste,ToSpp,SonOle,Sonchus,oleraceus,B14,cc,B14cc,31_100,_01,6-Mar-20,NA,,,,,,,,,,,,son.ole,,31,SW,HH,2020,3,6,,,,,,,
Poac,ToSpp,SorBic,Sorghum,bicolor,B14,cc,B14cc,31_100,_02,6-Mar-20,NA,,,,,,,,,,,,sor.bic,,31,SW,HH,2020,3,6,,,,,,,
Aste,ToSpp,YonJap,Youngia,japonica,B14,cc,B14cc,31_100,_03,6-Mar-20,NA,,,,,,,,,,,,you.jap,,31,SW,HH,2020,3,6,,,,,,,
Aste,ToSpp,GamPen,Gamochaeta,pensylvanica,B14,cc,B14cc,31_100,_04,6-Mar-20,NA,,,,,,,,,,,,gam.pen,,31,SW,HH,2020,3,6,,,,,,,
Urti,ToSpp,PilMic,Pilea,microphylla,B14,cc,B14cc,31_100,_05,6-Mar-20,NA,,,,,,,,,,,,pil.mic,,31,SW,HH,2020,3,6,,,,,,,
Aste,ToSpp,CyaCin,Cyanthillium,cinereum,B14,cc,B14cc,31_100,_06,6-Mar-20,NA,,,,,,,,,,,,cya.cin,,31,SW,HH,2020,3,6,,,,,,,
Urti,ToSpp,ParFlo,Parietaria,floridana,B14,cc,B14cc,31_100,_07,6-Mar-20,NA,,,,,,,,,,,,par.flo,,31,SW,HH,2020,3,6,,,,,,,
Lami,ToSpp,SalOcc,Salvia,occidentalis,B14,cc,B14cc,31_100,_08,6-Mar-20,NA,,,,,,,,,,,,sal.occ,,31,SW,HH,2020,3,6,,,,,,,
Euph,ToSpp,ChaOpt,Chamaesyce,opthalmica,B14,cc,B14cc,31_100,_09,6-Mar-20,NA,,,,,,,,,,,,cha.opt,,31,SW,HH,2020,3,6,,,,,,,
Aste,ToSpp,SonAsp,Sonchus,asper,B14,cc,B14cc,31_100,_10,6-Mar-20,NA,,,,,,,,,,,,son.asp,,31,SW,HH,2020,3,6,,,,,,,
Aste,ToSpp,EmiFos,Emilia,fosbergii,B14,cc,B14cc,32.2.1,_01,6-Mar-20,10,5,10,<1,5,<1,0,0,0,<1,0,,emi.fos,,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,YonJap,Youngia,japonica,B14,cc,B14cc,32.2.1,_02,6-Mar-20,20,,,,,,,,,,,,you.jap,,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,BidAlb,Bidens,alba,B14,cc,B14cc,32.2.1,_03,6-Mar-20,7,,,,,,,,,,,,bid.alb,,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,CyaCin,Cyanthillium,cinereum,B14,cc,B14cc,32.2.1,_04,6-Mar-20,3,,,,,,,,,,,,cya.cin,,32,SE,HH,2020,3,6,,,,,,,
Phyl,ToSpp,PhyTen,Phyllanthus,tenellus,B14,cc,B14cc,32.2.1,_05,6-Mar-20,5,,,,,,,,,,,,phy.ten,,32,SE,HH,2020,3,6,,,,,,,
Urti,ToSpp,PilMic,Pilea,microphylla,B14,cc,B14cc,32.2.1,_06,6-Mar-20,5,,,,,,,,,,,,pil.mic,,32,SE,HH,2020,3,6,,,,,,,
Rubi,ToSpp,SpeRem,Spermacoce,remota,B14,cc,B14cc,32.2.1,_07,6-Mar-20,3,,,,,,,,,,,,spe.rem,,32,SE,HH,2020,3,6,,,,,,,
Urti,ToSpp,ParFlo,Parietaria,floridana,B14,cc,B14cc,32.2.1,_08,6-Mar-20,1.5,,,,,,,,,,,,par.flo,,32,SE,HH,2020,3,6,,,,,,,
Urti,ToSpp,ParPra,Parietaria,praetermissa,B14,cc,B14cc,32.2.1,_09,6-Mar-20,1.5,,,,,,,,,,,,par.pra,,32,SE,HH,2020,3,6,,,,,,,
Euph,ToSpp,ChaHyp,Chamaesyce,hypericifolia,B14,cc,B14cc,32.2.1,_10,6-Mar-20,<1,,,,,,,,,,,,cha.hyp,,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,ParHys,Parthenium,hysterophorus,B14,cc,B14cc,32.2.1,_11,6-Mar-20,2,,,,,,,,,,,,par.hys,,32,SE,HH,2020,3,6,,,,,,,
Oxal,ToSpp,OxaCor,Oxalis,corniculata,B14,cc,B14cc,32.2.1,_12,6-Mar-20,5,,,,,,,,,,,,oxa.cor,,32,SE,HH,2020,3,6,,,,,,,
Euph,ToSpp,EupGra,Euphorbia,graminea,B14,cc,B14cc,32.2.1,_13,6-Mar-20,<1,,,,,,,,,,,,eup.gra,,32,SE,HH,2020,3,6,,,,,,,
Myrs,ToSpp,LysArv,Lysimachia,arvensis,B14,cc,B14cc,32.2.1,_14,6-Mar-20,1,,,,,,,,,,,,ana.arv,,32,SE,HH,2020,3,6,,,,,,,
Cype,Genus,CypSp.,Cyperus,sp.,B14,cc,B14cc,32.2.1,_15,6-Mar-20,<1,,,,,,,,,,,,cyp.sp,,32,SE,HH,2020,3,6,,,,,,,
Zz?F,Dicot,NA,(Lami/Verb),(PriLap/SalOcc),B14,cc,B14cc,32.2.1,_16,6-Mar-20,<1,,,,,,,,,,,,(lam/ver),,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,CalVia,Calyptocarpus,vialis,B14,cc,B14cc,32.2.1,_17,6-Mar-20,<1,,,,,,,,,,,,cal.via,,32,SE,HH,2020,3,6,,,,,,,
Poac,ToSpp,DigCil,Digitara,ciliaris,B14,cc,B14cc,32.2.1,_18,6-Mar-20,1,,,,,,,,,,,,dig.cil,,32,SE,HH,2020,3,6,,,,,,,
Poac,ToSpp,PasFim,Paspalum,fimbriatum,B14,cc,B14cc,32.2.1,_19,6-Mar-20,2,,,,,,,,,,,,pas.fim,,32,SE,HH,2020,3,6,,,,,,,
Poac,Fam,NA,Poac(~PasCon),NA,B14,cc,B14cc,32.2.1,_20,6-Mar-20,<1,,,,,,,,,,,,NA,Unknown grass,32,SE,HH,2020,3,6,,,,,,,
Sola,ToSpp,SolAme,Solanum,americanum,B14,cc,B14cc,32.2.1,_21,6-Mar-20,<1,,,,,,,,,,,,NA,,32,SE,HH,2020,3,6,,,,,,,
Hydr,ToSpp,NamJam,Nama,jamaicensis,B14,cc,B14cc,32.2.1,_22,6-Mar-20,<1,,,,,,,,,,,,nam.jam,,32,SE,HH,2020,3,6,,,,,,,
Papa,ToSpp,ArgMex,Argemone,mexicana,B14,cc,B14cc,32.2.10,_01,6-Mar-20,NA,,,,,,,,,,,,arg.mex,,32,SE,HH,2020,3,6,,,,,,,
Verb,ToSpp,PriLap,Priva,lappulacea,B14,cc,B14cc,32.2.10,_02,6-Mar-20,NA,,,,,,,,,,,,pri.lap,,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,SonAsp,Sonchus,asper,B14,cc,B14cc,32.2.10,_03,6-Mar-20,NA,,,,,,,,,,,,son.asp,,32,SE,HH,2020,3,6,,,,,,,
Oxal,ToSpp,OxaDeb,Oxalis,debilis,B14,cc,B14cc,32.2.10,_04,6-Mar-20,NA,,,,,,,,,,,,oxa.deb,,32,SE,HH,2020,3,6,,,,,,,
Apia,ToSpp,CycLep,Cyclospermum,leptophyllum,B14,cc,B14cc,32.2.10,_05,6-Mar-20,NA,,,,,,,,,,,,cyc.lep,,32,SE,HH,2020,3,6,,,,,,,
Oxal,ToSpp,OxaLat,Oxalis,latifolia,B14,cc,B14cc,32.2.10,_06,6-Mar-20,NA,,,,,,,,,,,,oxa.lat,,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,SonOle,Sonchus,oleraceus,B14,cc,B14cc,32.2.10,_07,6-Mar-20,NA,,,,,,,,,,,,son.ole,,32,SE,HH,2020,3,6,,,,,,,
Poac,ToSpp,PasFim,Paspalum,fimbriatum,B14,cc,B14cc,32.4.1,_01,6-Mar-20,20,2,10,<1,15,<1,0,0,0,<1,0,,pas.fim,,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,ParHys,Parthenium,hysterophorus,B14,cc,B14cc,32.4.1,_02,6-Mar-20,20,,,,,,,,,,,,par.hys,,32,SE,HH,2020,3,6,,,,,,,
Poac,ToSpp,DacAeg,Dactyloctenium,aegyptium,B14,cc,B14cc,32.4.1,_03,6-Mar-20,3,,,,,,,,,,,,dac.aeg,,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,BidAlb,Bidens,alba,B14,cc,B14cc,32.4.1,_04,6-Mar-20,1,,,,,,,,,,,,bid.alb,,32,SE,HH,2020,3,6,,,,,,,
Phyl,ToSpp,PhyAma,Phyllanthus,amarus,B14,cc,B14cc,32.4.1,_05,6-Mar-20,<1,,,,,,,,,,,,phy.ama,,32,SE,HH,2020,3,6,,,,,,,
Myrs,ToSpp,LysArv,Lysimachia,arvensis,B14,cc,B14cc,32.4.1,_06,6-Mar-20,1,,,,,,,,,,,,ana.arv,,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,EmiFos,Emilia,fosbergii,B14,cc,B14cc,32.4.1,_07,6-Mar-20,1,,,,,,,,,,,,emi.fos,,32,SE,HH,2020,3,6,,,,,,,
Rubi,ToSpp,SpeRem,Spermacoce,remota,B14,cc,B14cc,32.4.1,_08,6-Mar-20,1,,,,,,,,,,,,spe.rem,,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,TriPro,Tridax,procumbens,B14,cc,B14cc,32.4.1,_09,6-Mar-20,<1,,,,,,,,,,,,tri.pro,,32,SE,HH,2020,3,6,,,,,,,
Zz?F,Dicot,NA,(Lami/Verb),(PriLap/SalOcc),B14,cc,B14cc,32.4.1,_10,6-Mar-20,<1,,,,,,,,,,,,(lam/ver),,32,SE,HH,2020,3,6,,,,,,,
Apia,ToSpp,CycLep,Cyclospermum,leptophyllum,B14,cc,B14cc,32.4.1,_11,6-Mar-20,<1,,,,,,,,,,,,cyc.lep,,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,CalVia,Calyptocarpus,vialis,B14,cc,B14cc,32.4.1,_12,6-Mar-20,<1,,,,,,,,,,,,cal.via,,32,SE,HH,2020,3,6,,,,,,,
Urti,ToSpp,PilMic,Pilea,microphylla,B14,cc,B14cc,32.4.1,_13,6-Mar-20,<1,,,,,,,,,,,,pil.mic,,32,SE,HH,2020,3,6,,,,,,,
Poac,ToSpp,DigCil,Digitara,ciliaris,B14,cc,B14cc,32.4.1,_14,6-Mar-20,<1,,,,,,,,,,,,dig.cil,,32,SE,HH,2020,3,6,,,,,,,
Euph,Genus,EupSp.,Euphorbia,sp.,B14,cc,B14cc,32.4.1,_15,6-Mar-20,<1,,,,,,,,,,,,eup.sp,,32,SE,HH,2020,3,6,,,,,,,
Hydr,ToSpp,NamJam,Nama,jamaicensis,B14,cc,B14cc,32.4.1,_16,6-Mar-20,<1,,,,,,,,,,,,nam.jam,,32,SE,HH,2020,3,6,,,,,,,
Faba,ToSpp,CroJun,Crotalaria,juncea,B14,cc,B14cc,32.4.1,_17,6-Mar-20,<1,,,,,,,,,,,,cro.jun,,32,SE,HH,2020,3,6,,,,,,,
Oxal,ToSpp,OxaCor,Oxalis,corniculata,B14,cc,B14cc,32.4.1,_18,6-Mar-20,1,,,,,,,,,,,,oxa.cor,,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,CyaCin,Cyanthillium,cinereum,B14,cc,B14cc,32.4.1,_19,6-Mar-20,<1,,,,,,,,,,,,cya.cin,,32,SE,HH,2020,3,6,,,,,,,
Papa,ToSpp,ArgMex,Argemone,mexicana,B14,cc,B14cc,32.4.1,_20,6-Mar-20,<1,,,,,,,,,,,,arg.mex,,32,SE,HH,2020,3,6,,,,,,,
Euph,ToSpp,EupGra,Euphorbia,graminea,B14,cc,B14cc,32.4.10,_01,6-Mar-20,NA,,,,,,,,,,,,eup.gra,,32,SE,HH,2020,3,6,,,,,,,
Euph,ToSpp,ChaHir,Chamaesyce,hirta,B14,cc,B14cc,32.4.10,_02,6-Mar-20,NA,,,,,,,,,,,,cha.hir,,32,SE,HH,2020,3,6,,,,,,,
Sola,ToSpp,SolAme,Solanum,americanum,B14,cc,B14cc,32.4.10,_03,6-Mar-20,NA,,,,,,,,,,,,sol.ame,,32,SE,HH,2020,3,6,,,,,,,
Oxal,ToSpp,OxaLat,Oxalis,latifolia,B14,cc,B14cc,32.4.10,_04,6-Mar-20,NA,,,,,,,,,,,,oxa.lat,,32,SE,HH,2020,3,6,,,,,,,
Oxal,ToSpp,OxaDeb,Oxalis,debilis,B14,cc,B14cc,32.4.10,_05,6-Mar-20,NA,,,,,,,,,,,,oxa.deb,,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,YonJap,Youngia,japonica,B14,cc,B14cc,32.4.10,_06,6-Mar-20,NA,,,,,,,,,,,,you.jap,,32,SE,HH,2020,3,6,,,,,,,
Faba,ToSpp,MedLup,Medicago,lupulina,B14,cc,B14cc,32.4.10,_07,6-Mar-20,NA,,,,,,,,,,,,med.lup,,32,SE,HH,2020,3,6,,,,,,,
Urti,ToSpp,PilMic,Pilea,microphylla,B14,cc,B14cc,32.4.10,_08,6-Mar-20,NA,,,,,,,,,,,,pil.mic,,32,SE,HH,2020,3,6,,,,,,,
Rubi,ToSpp,SpeTet,Spermacoce,tetraquetra,B14,cc,B14cc,32.4.10,_09,6-Mar-20,NA,,,,,,,,,,,,spe.tet,,32,SE,HH,2020,3,6,,,,,,,
Verb,ToSpp,PriLap,Priva,lappulacea,B14,cc,B14cc,32.4.10,_10,6-Mar-20,NA,,,,,,,,,,,,pri.lap,,32,SE,HH,2020,3,6,,,,,,,
Poac,ToSpp,SorBic,Sorghum,bicolor,B14,cc,B14cc,32_100,_01,6-Mar-20,NA,,,,,,,,,,,,sor.bic,,32,SE,HH,2020,3,6,,,,,,,
Aste,Fam,NA,Aste(~Conyza),NA,B14,cc,B14cc,32_100,_02,6-Mar-20,NA,,,,,,,,,,,,(con),,32,SE,HH,2020,3,6,,,,,,,
Aste,fSbFm,NA,Aste(Crass/Erec),NA,B14,cc,B14cc,32_100,_03,6-Mar-20,NA,,,,,,,,,,,,(crass/erec),Unkown Aster 2,32,SE,HH,2020,3,6,,,,,,,
Sola,ToSpp,SolAme,Solanum,americanum,B14,cc,B14cc,32_100,_04,6-Mar-20,NA,,,,,,,,,,,,sol.ame,,32,SE,HH,2020,3,6,,,,,,,
Malv,ToSpp,SidUlm,Sida,ulmifolia,B14,cc,B14cc,32_100,_05,6-Mar-20,NA,,,,,,,,,,,,sid.ulm,,32,SE,HH,2020,3,6,,,,,,,
Faba,ToSpp,MucPru,Mucuna,pruriens,B14,cc,B14cc,32_100,_06,6-Mar-20,NA,,,,,,,,,,,,muc.pru,,32,SE,HH,2020,3,6,,,,,,,
Sola,ToSpp,NicPhy,Nicandra,physaloides,B14,cc,B14cc,32_100,_07,6-Mar-20,NA,,,,,,,,,,,,nic.phy,,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,TriPro,Tridax,procumbens,B14,cc,B14cc,32_100,_08,6-Mar-20,NA,,,,,,,,,,,,tri.pro,,32,SE,HH,2020,3,6,,,,,,,
Euph,ToSpp,ChaOpt,Chamaesyce,opthalmica,B14,cc,B14cc,32_100,_09,6-Mar-20,NA,,,,,,,,,,,,cha.opt,,32,SE,HH,2020,3,6,,,,,,,
Faba,ToSpp,DesTor,Desmodium,tortuosum,B14,cc,B14cc,32_100,_10,6-Mar-20,NA,,,,,,,,,,,,des.tor,,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,SonAsp,Sonchus,asper,B14,cc,B14cc,32_100,_11,6-Mar-20,NA,,,,,,,,,,,,son.asp,,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,SonOle,Sonchus,oleraceus,B14,cc,B14cc,32_100,_12,6-Mar-20,NA,,,,,,,,,,,,son.ole,,32,SE,HH,2020,3,6,,,,,,,
Urti,ToSpp,ParFlo,Parietaria,floridana,B14,cc,B14cc,32_100,_13,6-Mar-20,NA,,,,,,,,,,,,par.flo,,32,SE,HH,2020,3,6,,,,,,,
Urti,ToSpp,ParPra,Parietaria,praetermissa,B14,cc,B14cc,32_100,_14,6-Mar-20,NA,,,,,,,,,,,,par.pra,,32,SE,HH,2020,3,6,,,,,,,
Aste,ToSpp,BidAlb,Bidens,alba,B14,cc,B14cc,40.1.1,_01,6-Mar-20,25,1,5,<1,3,<1,0,0,0,<1,0,,bid.alb,,40,NW,HH,2020,3,6,,,,,,,
Aste,ToSpp,ParHys,Parthenium,hysterophorus,B14,cc,B14cc,40.1.1,_02,6-Mar-20,25,,,,,,,,,,,,par.hys,,40,NW,HH,2020,3,6,,,,,,,
Poac,ToSpp,PasFim,Paspalum,fimbriatum,B14,cc,B14cc,40.1.1,_03,6-Mar-20,25,,,,,,,,,,,,pas.fim,,40,NW,HH,2020,3,6,,,,,,,
Aste,ToSpp,SonOle,Sonchus,oleraceus,B14,cc,B14cc,40.1.1,_04,6-Mar-20,3,,,,,,,,,,,,son.ole,,40,NW,HH,2020,3,6,,,,,,,
Poac,ToSpp,SorBic,Sorghum,bicolor,B14,cc,B14cc,40.1.1,_05,6-Mar-20,1,,,,,,,,,,,,sor.bic,,40,NW,HH,2020,3,6,,,,,,,
Myrs,ToSpp,LysArv,Lysimachia,arvensis,B14,cc,B14cc,40.1.1,_06,6-Mar-20,2,,,,,,,,,,,,ana.arv,,40,NW,HH,2020,3,6,,,,,,,
Phyl,ToSpp,PhyAma,Phyllanthus,amarus,B14,cc,B14cc,40.1.1,_07,6-Mar-20,2,,,,,,,,,,,,phy.ama,,40,NW,HH,2020,3,6,,,,,,,
Malv,ToSpp,SidUlm,Sida,ulmifolia,B14,cc,B14cc,40.1.1,_08,6-Mar-20,<1,,,,,,,,,,,,sid.ulm,,40,NW,HH,2020,3,6,,,,,,,
Poac,ToSpp,DigCil,Digitara,ciliaris,B14,cc,B14cc,40.1.1,_09,6-Mar-20,1,,,,,,,,,,,,dig.cil,,40,NW,HH,2020,3,6,,,,,,,
Sola,ToSpp,SolAme,Solanum,americanum,B14,cc,B14cc,40.1.1,_10,6-Mar-20,<1,,,,,,,,,,,,sol.ame,,40,NW,HH,2020,3,6,,,,,,,
Papa,ToSpp,ArgMex,Argemone,mexicana,B14,cc,B14cc,40.1.1,_11,6-Mar-20,3,,,,,,,,,,,,arg.mex,,40,NW,HH,2020,3,6,,,,,,,
Oxal,ToSpp,OxaCor,Oxalis,corniculata,B14,cc,B14cc,40.1.1,_12,6-Mar-20,<1,,,,,,,,,,,,oxa.cor,,40,NW,HH,2020,3,6,,,,,,,
Euph,gSbGn,ChaHi/Op,Chamaesyce,sp.(hir/opt),B14,cc,B14cc,40.1.1,_13,6-Mar-20,<1,,,,,,,,,,,,NA,,40,NW,HH,2020,3,6,,,,,,,
Aste,ToSpp,CyaCin,Cyanthillium,cinereum,B14,cc,B14cc,40.1.1,_14,6-Mar-20,<1,,,,,,,,,,,,cya.cin,,40,NW,HH,2020,3,6,,,,,,,
Hydr,ToSpp,NamJam,Nama,jamaicensis,B14,cc,B14cc,40.1.1,_15,6-Mar-20,<1,,,,,,,,,,,,nam.jam,,40,NW,HH,2020,3,6,,,,,,,
Poac,ToSpp,DacAeg,Dactyloctenium,aegyptium,B14,cc,B14cc,40.1.1,_16,6-Mar-20,<1,,,,,,,,,,,,dac.aeg,,40,NW,HH,2020,3,6,,,,,,,
Euph,ToSpp,EupGra,Euphorbia,graminea,B14,cc,B14cc,40.1.1,_17,6-Mar-20,<1,,,,,,,,,,,,eup.gra,,40,NW,HH,2020,3,6,,,,,,,
Aste,ToSpp,TriPro,Tridax,procumbens,B14,cc,B14cc,40.1.1,_18,6-Mar-20,<1,,,,,,,,,,,,tri.pro,,40,NW,HH,2020,3,6,,,,,,,
Aste,ToSpp,CalVia,Calyptocarpus,vialis,B14,cc,B14cc,40.1.1,_19,6-Mar-20,<1,,,,,,,,,,,,cal.via,,40,NW,HH,2020,3,6,,,,,,,
Zz?F,Dicot,NA,Dicot(UnkFam),(~SpeSp.),B14,cc,B14cc,40.1.1,_20,6-Mar-20,<1,,,,,,,,,,,,NA,Unknow dicot,40,NW,HH,2020,3,6,,,,,,,
Poac,ToSpp,CenEch,Cenchrus,echinatus,B14,cc,B14cc,40.1.1,_21,6-Mar-20,2,,,,,,,,,,,,cen.ech,,40,NW,HH,2020,3,6,,,,,,,
Bras,ToSpp,LepVir,Lepidium,virginicum,B14,cc,B14cc,40.1.10,_01,6-Mar-20,NA,,,,,,,,,,,,lep.vir,,40,NW,HH,2020,3,6,,,,,,,
Aste,ToSpp,EmiFos,Emilia,fosbergii,B14,cc,B14cc,40.1.10,_02,6-Mar-20,NA,,,,,,,,,,,,emi.fos,,40,NW,HH,2020,3,6,,,,,,,
Rubi,ToSpp,SpeRem,Spermacoce,remota,B14,cc,B14cc,40.1.10,_03,6-Mar-20,NA,,,,,,,,,,,,spe.rem,,40,NW,HH,2020,3,6,,,,,,,
Rubi,ToSpp,RicGra,Richardia,grandiflora,B14,cc,B14cc,40.1.10,_04,6-Mar-20,NA,,,,,,,,,,,,ric.gra,,40,NW,HH,2020,3,6,,,,,,,
Faba,ToSpp,MedLup,Medicago,lupulina,B14,cc,B14cc,40.1.10,_05,6-Mar-20,NA,,,,,,,,,,,,med.lup,,40,NW,HH,2020,3,6,,,,,,,
Euph,Genus,EupSp.,Euphorbia,sp.,B14,cc,B14cc,40.1.10,_06,6-Mar-20,NA,,,,,,,,,,,,eup.sp,,40,NW,HH,2020,3,6,,,,,,,
Euph,ToSpp,ChaHir,Chamaesyce,hirta,B14,cc,B14cc,40.1.10,_07,6-Mar-20,NA,,,,,,,,,,,,cha.hir,,40,NW,HH,2020,3,6,,,,,,,
Oxal,ToSpp,OxaLat,Oxalis,latifolia,B14,cc,B14cc,40.1.10,_08,6-Mar-20,NA,,,,,,,,,,,,oxa.lat,,40,NW,HH,2020,3,6,,,,,,,
Poac,ToSpp,DacAeg,Dactyloctenium,aegyptium,B14,cc,B14cc,40.1.10,_09,6-Mar-20,NA,,,,,,,,,,,,dac.aeg,,40,NW,HH,2020,3,6,,,,,,,
Aste,ToSpp,SonOle,Sonchus,oleraceus,B14,cc,B14cc,40.1.10,_10,6-Mar-20,NA,,,,,,,,,,,,son.ole,,40,NW,HH,2020,3,6,,,,,,,
